transaction_date,description,amount,currency,status,transaction_id
2026-01-30,Card charge (HELIUM10.COM),-64.35,USD,Completed,245124766
2026-01-28,Payment from adva tal,11046.99,USD,Completed,944669602
2026-01-24,Card charge (GOOGLE*ADS5932893176),-500.0,USD,Completed,243854399
2026-01-21,Payment to SYLVIA,-18119.39,USD,Completed,941784212
2026-01-12,Payment from adva tal,156146.35,USD,Completed,938186383
2026-01-12,Withdrawal to HAPPY LOLLI ACCOUNT,-20000.0,USD,Completed,938123917
2026-01-11,Card charge (GOOGLE*ADS5932893176),-500.0,USD,Completed,241522199
2026-01-08,"Card charge (CURSOR, AI POWERED IDE)",-21.69,USD,Completed,241026694
2026-01-07,Card charge (Amazon Mexico),-15.32,USD,Completed,240864163
2026-01-07,Card charge (SHOPIFY* 469804827),-53.99,USD,Completed,240769694
2026-01-07,Card charge (SELLERBOARD STANDARD),-19.0,USD,Completed,240728150
2026-01-01,Card charge (GOOGLE*ADS5932893176),-455.37,USD,Completed,239758802
2026-01-01,Card charge (SHOPIFY* 467632880),-16.0,USD,Completed,239758822
2026-01-01,"Maintenance fee, January 2026 to December 2026",-29.95,USD,Completed,4366185355524073
