transaction_date,description,amount,currency,status,running_balance,transaction_id
2026-01-30,Card charge (HELIUM10.COM),-64.35,USD,Completed,272469.23,245124766
2026-01-28,Payment from adva tal,11046.99,USD,Completed,272533.58,944669602
2026-01-24,Card charge (GOOGLE*ADS5932893176),-500.0,USD,Completed,261486.59,243854399
2026-01-21,Payment to SYLVIA,-18119.39,USD,Completed,261986.59,941784212
2026-01-12,Payment from adva tal,156146.35,USD,Completed,280105.98,938186383
2026-01-12,Withdrawal to HAPPY LOLLI ACCOUNT,-20000.0,USD,Completed,123959.63,938123917
2026-01-11,Card charge (GOOGLE*ADS5932893176),-500.0,USD,Completed,143959.63,241522199
2026-01-08,"Card charge (CURSOR, AI POWERED IDE)",-21.69,USD,Completed,144459.63,241026694
2026-01-07,Card charge (Amazon Mexico),-15.32,USD,Completed,144481.32,240864163
2026-01-07,Card charge (SHOPIFY* 469804827),-53.99,USD,Completed,144496.64,240769694
2026-01-07,Card charge (SELLERBOARD STANDARD),-19.0,USD,Completed,144550.63,240728150
2026-01-01,Card charge (GOOGLE*ADS5932893176),-455.37,USD,Completed,144569.63,239758802
2026-01-01,Card charge (SHOPIFY* 467632880),-16.0,USD,Completed,145025.0,239758822
2026-01-01,"Maintenance fee, January 2026 to December 2026",-29.95,USD,Completed,145041.0,4366185355524073
