ASIN_Title,ASIN,Category,Impressions_Impressions,Impressions_Rating_Median,Impressions_Price_Median,Impressions_Same_Day_Shipping_Speed,Impressions_1D_Shipping_Speed,Impressions_2D_Shipping_Speed,Clicks_Clicks,Clicks_Click_Rate_CTR,Clicks_Price_Median,Clicks_Same_Day_Shipping_Speed,Clicks_1D_Shipping_Speed,Clicks_2D_Shipping_Speed,Cart_Adds_Cart_Adds,Cart_Adds_Price_Median,Cart_Adds_Same_Day_Shipping_Speed,Cart_Adds_1D_Shipping_Speed,Cart_Adds_2D_Shipping_Speed,Purchases_Purchases,Purchases_Search_Traffic_Sales,Purchases_Conversion_Rate,Purchases_Rating_Median,Purchases_Price_Median,Purchases_Same_Day_Shipping_Speed,Purchases_1D_Shipping_Speed,Purchases_2D_Shipping_Speed,Reporting_Date
"HAPPY LOLLI Purple LolliBox Birthday Gift for Tween & Teen Girls Ages 8–14, Ready to Gift Surprise Box with Empowering Fun Challenges",B09XQ56RK5,Apparel,11093,,54.4,129,965,2578,199,1.79,54.4,3,21,43,15,54.4,0,2,1,1,54.4,0.5,,54.4,0,0,0,2026-01-03
"HAPPY LOLLI White LolliBox Birthday Gift for Tween & Teen Girls Ages 8–14, Ready to Gift Surprise Box with Empowering Fun Challenges",B0C1VLXYBP,Apparel,2425027,,54.4,8762,519856,915212,2427,0.1,54.4,220,390,620,215,54.4,15,28,60,29,1577.6,1.19,,54.4,4,6,4,2026-01-03
"HAPPY LOLLI Pink LolliBox Birthday Gift for Tween & Teen Girls Ages 8–14, Ready to Gift Surprise Box with Empowering Fun Challenges",B0CR6N3WRC,Apparel,1505,,54.4,4,23,83,42,2.79,54.4,0,1,2,3,54.4,0,1,0,1,54.4,2.38,,54.4,0,1,0,2026-01-03
"Happy Lolli Power Shower Gift Set – College Essential Bath Accessories for Women and Teen Girls – Includes Body Towel, Hair Towel, Wrist Bands, Headband, Face Sponge and More (Fresh in Beige)",B0D7N2MLDP,Beauty,8132,,49.9,142,1181,2694,178,2.19,49.9,5,28,52,25,49.9,0,4,7,7,349.3,3.93,,49.9,0,3,1,2026-01-03
"HAPPY LOLLI Blue LolliBox Birthday Gift for Tween & Teen Girls Ages 8–14, Ready to Gift Surprise Box with Empowering Fun Challenges",B0DJFG5ZJ7,Apparel,2161,,54.4,44,347,503,52,2.41,54.4,2,10,13,9,54.4,1,1,3,0,0.0,0.0,,,0,0,0,2026-01-03
"HAPPY LOLLI Truth or Dare Game – Fun Gift for Tween & Teen Girls Ages 10 and Up – Screen-Free Party & Family Fun Game for Sleepovers, Birthdays, Holidays, BFF Nights – 60 Truths & Dares",B0F4KCCSWN,Toys,32285,,29.9,346,4636,11069,745,2.31,29.9,10,100,277,175,29.9,2,22,64,14,418.6,1.88,,29.9,1,2,7,2026-01-03
"HAPPY LOLLI Mint LolliME DIY Journal Kit for Girls – 300+ Pieces! Lockable Fuzzy Diary, Markers, Stickers & Empowering Pages – Gift Box for Tweens & Teens – Creative Journaling Set",B0F9X95K5H,Toys,26793,,32.9,273,2769,6610,446,1.66,32.9,6,52,127,83,32.9,0,5,32,12,395.07,2.69,,32.9,0,1,5,2026-01-03
"HAPPY LOLLI Purple LolliME DIY Journal Kit for Girls – 300+ Pieces! Lockable Fuzzy Diary, Markers, Stickers & Empowering Pages – Gift Box for Tweens & Teens – Creative Journaling Set",B0F9XDSVYB,Toys,24796,,32.9,588,3662,8075,391,1.58,32.9,14,58,142,78,32.9,4,15,24,13,691.44,3.32,,32.9,0,4,6,2026-01-03
"HAPPY LOLLI Pink LolliME DIY Journal Kit for Girls – 300+ Pieces! Lockable Fuzzy Diary, Markers, Stickers & Empowering Pages – Gift Box for Tweens & Teens – Creative Journaling Set",B0F9XFXQRW,Toys,13695,,32.9,198,1434,3649,213,1.56,32.9,4,36,50,35,32.9,0,6,11,4,131.6,1.88,,32.9,0,1,1,2026-01-03
