campaign_id,campaign_name,placement_type,spend,sales,orders,roas
488973733209950,"BOX-SP/AUTO (White, Discovery)",Search_Results,3268.5,13133.06,237,4.02
200171414843593,"BOX-SP/BROAD (Hunter, Gift for Girl)",Search_Results,2553.58,7744.85,143,3.03
501467313119574,"BOX-SBS/BROAD (Hunter, By Age)",Search_Results,2279.1,6738.12,124,2.96
292848303399755,"FRESH SP/BROAD (Hunter ,Pink, Gift)",Search_Results,1520.22,6440.85,114,4.24
369056697567588,ME-VIDEO/BROAD (Hunter),Search_Results,1082.37,4145.16,120,3.83
424256831364046,BOX- STORE/ BROAD,Search_Results,942.08,2969.08,59,3.15
420451428679840,"FRESH-SP/AUTO (Beige, Discovery)",Search_Results,887.49,2644.3,49,2.98
527422818407259,"ME-SP/AUTO (discovery,Mint)",Search_Results,819.02,2806.39,84,3.43
435692261851957,"ME-VIDEO/EXACT ((Boost, Girls journal)",Search_Results,804.51,2738.17,77,3.4
214487258364251,"ME-SP/EXACT (Boost, Girls journal)",Search_Results,736.17,1616.51,50,2.2
167698180322285,"BOX-VIDEO/EXACT (Teen Girl Gifts, Boost)",Search_Results,722.38,213.1,3,0.29
153696497983692,"ME-SP/AUTO (Hunter,Purple)",Search_Results,694.31,2462.67,73,3.55
531456687555062,"ME-SP/PT (Conquest, Competitors)",Product_Page,614.19,1715.48,50,2.79
342313119548309,"FRESH - SB\BROAD (Hunter, FRESH+WHITE)",Search_Results,569.5,1471.27,28,2.58
486950936491346,BOTTLE-SP/AUTO (Discovery),Search_Results,537.62,1370.0,42,2.55
224831787476880,"FRESH-SP/EXACT (Boost, 13 year old girl)",Search_Results,501.46,303.9,6,0.61
172187650043615,BOX-SP/PT (Product Defense),Product_Page,490.54,1881.5,35,3.84
172187650043615,BOX-SP/PT (Product Defense),Search_Results,458.13,1229.79,23,2.68
442375483215343,BOX -EXACT/VIDEO (teen girl gifts trendy stuff),Search_Results,416.44,489.6,9,1.18
71460479938206,"BOX-SP/EXACT (Teen Girl Gifts, Boost)",Search_Results,403.13,1025.55,19,2.54
446868628489343,FRESH-VIDEO/ BROAD,Search_Results,338.58,1401.7,26,4.14
537046793426450,"ME-SBS/BROAD (Discovery, Journal)",Search_Results,335.29,1253.62,37,3.74
436243721018612,BOTTLE-SP/BROAD,Search_Results,276.26,568.1,19,2.06
130115986205897,"ME-SP/EXACT (Boost, journal kit for girls)",Search_Results,271.92,626.81,19,2.31
190681467027940,"ME-SP/AUTO (Hunter,Pink)",Search_Results,248.78,978.12,28,3.93
531456687555062,"ME-SP/PT (Conquest, Competitors)",Search_Results,238.49,428.87,13,1.8
17390526749894,"FRESH-SP/AUTO (Pink, Discovery)",Search_Results,210.38,890.29,16,4.23
527422818407259,"ME-SP/AUTO (discovery,Mint)",Product_Page,187.56,478.77,14,2.55
258822421490371,"BOX-SP/PHRASE (Hunter, By Age, Pink)",Search_Results,173.89,317.4,6,1.83
273328045996681,"FRESH-VIDEO/EXACT (Boost, birthday gift for 12)",Search_Results,172.02,449.1,9,2.61
102652064294862,"BRAND-STORE/BROAD (Discovery, old one)",Search_Results,170.39,668.69,13,3.92
533357357724374,BOX-VIDEO/BROAD (2 KW),Search_Results,154.48,304.99,6,1.97
366680190861213,"BOX-SP/EXACT (Boost, Tween Gifts, Blue)",Search_Results,132.15,380.8,7,2.88
172872442210536,"BOX-SP/AUTO (Purple, Discovery)",Search_Results,122.71,1468.8,26,11.97
491652134548478,"BRAND-STORE/BROAD (Me,Box,Bottle)",Search_Results,103.38,420.94,11,4.07
52908075625268,"BOX-SP/AUTO (Blue, Discovery)",Search_Results,98.71,933.66,17,9.46
488973733209950,"BOX-SP/AUTO (White, Discovery)",Product_Page,81.08,272.0,5,3.35
14040466080362,BOX-SP/PHRASE (Brand Defense),Search_Results,79.4,1481.07,28,18.65
270478855393981,"BOX-SP/EXACT (Boost, Easter 2026)",Search_Results,75.93,108.8,2,1.43
486950936491346,BOTTLE-SP/AUTO (Discovery),Product_Page,68.07,179.4,6,2.64
250112863473946,ME-SP/PT (Product Defense),Search_Results,56.42,230.93,7,4.09
197677273562758,"BOX-VIDEO/EXACT (Boost, Easter 2026)",Search_Results,52.27,217.6,4,4.16
153696497983692,"ME-SP/AUTO (Hunter,Purple)",Product_Page,45.82,164.95,5,3.6
278928403939524,"FRESH-SP/EXACT (Boost, birthday gift for 12)",Search_Results,44.5,149.7,3,3.36
142749507242376,"ME-VIDEO/EXACT (Boost, journal kit for girls)",Search_Results,43.59,197.94,6,4.54
64984933476400,teenager girl gift ideas,Search_Results,35.77,54.4,1,1.52
130609878389225,"FRESH-VIDEO/EXACT (Boost, 13 year old girl)",Search_Results,35.29,149.7,3,4.24
172872442210536,"BOX-SP/AUTO (Purple, Discovery)",Product_Page,34.79,54.4,1,1.56
271418734706306,BOX-VIDEO/PHRASE (Brand Defense),Search_Results,32.68,914.97,18,28.0
17390526749894,"FRESH-SP/AUTO (Pink, Discovery)",Product_Page,24.02,49.9,1,2.08
103820198708330,ME-SP/PHRASE (Brand Defense),Search_Results,21.49,626.81,19,29.17
250112863473946,ME-SP/PT (Product Defense),Product_Page,21.4,339.73,9,15.88
99944207859917,"BOX-VIDEO/EXACT (13yo Birthday, Boost)",Search_Results,16.57,0.0,0,0.0
190681467027940,"ME-SP/AUTO (Hunter,Pink)",Product_Page,14.58,98.97,3,6.79
420451428679840,"FRESH-SP/AUTO (Beige, Discovery)",Product_Page,13.53,0.0,0,0.0
52908075625268,"BOX-SP/AUTO (Blue, Discovery)",Product_Page,10.66,226.09,5,21.21
93242473211749,FRESH-SP/PT (Product Defense),Product_Page,10.42,265.58,6,25.49
278096465906874,BOTTLE- COMPETE (Copycats),Product_Page,10.15,0.0,0,0.0
278096465906874,BOTTLE- COMPETE (Copycats),Search_Results,8.2,0.0,0,0.0
93242473211749,FRESH-SP/PT (Product Defense),Search_Results,6.72,49.9,1,7.43
244719357754299,ME-VIDEO/PHRASE (Brand Defense),Search_Results,4.12,164.95,5,40.04
203850400072526,FRESH-SP/PHRASE (Brand Defense),Search_Results,2.97,54.4,1,18.32
144455215082932,BOTTLE-SP/PT (Product Defense),Product_Page,2.09,29.9,1,14.31
71317833591283,"BOTTLE-VIDEO/EXACT (Boost, truth or dare game)",Search_Results,2.05,0.0,0,0.0
144455215082932,BOTTLE-SP/PT (Product Defense),Search_Results,1.16,0.0,0,0.0
109684759411833,BOTTLE-SP/PHRASE (Brand Defense),Search_Results,1.01,59.8,2,59.21
211106697489196,FRESH-VIDEO/PHRASE (Brand Defense),Search_Results,0.9,0.0,0,0.0
